occurrenceID	institutionCode	collectionCode	catalogNumber	combined	SamplingDate	recordedBy	Sex	Department	Municipality	Locality	MinElevation	MaxElevation	decimalLatitude	decimalLongitude	Habitat	Order	Family	Species	SnoutVentLength	HeadWidth	MouthWidth	ForearmLength	TibiaLength	FemurLength	FootLength	FootWebbing
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3529	UV	UV-C	11024	UV-C-11024	1989-04-05	Oscar Hernandez	NA	Cundinamarca	Junín	Reserva biológica Carpata	3750	3750	NA	NA	Paramo	Anura	Dendrobatidae	Hyloxalus subpunctatus	18.16	6.29	5.91	3.75	7.57	8.13	8.85	Basal
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3530	UV	UV-C	11025	UV-C-11025	1989-04-05	Oscar Hernandez	NA	Cundinamarca	Junín	Reserva biológica Carpata	3750	3750	NA	NA	Paramo	Anura	Dendrobatidae	Hyloxalus subpunctatus	20.89	6.29	5.28	4.33	8.04	8.4	9.43	Basal
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3531	UV	UV-C	11026	UV-C-11026	1989-04-05	Oscar Hernandez	Female	Cundinamarca	Junín	Reserva biológica Carpata	3750	3750	NA	NA	Paramo	Anura	Dendrobatidae	Hyloxalus subpunctatus	22.04	7.21	5.65	4.95	9.17	8.52	10.55	Basal
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3532	UV	UV-C	11027	UV-C-11027	1989-04-05	Oscar Hernandez	Male	Cundinamarca	Junín	Reserva biológica Carpata	3750	3750	NA	NA	Paramo	Anura	Dendrobatidae	Hyloxalus subpunctatus	16.7	6.62	5.31	3.81	7.57	7.84	8.67	Basal
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3533	UV	UV-C	11108	UV-C-11108	1988-08-08	Oscar Hernandez	NA	Chocó 	San José del Palmar	vertiente oriental Cerro del Torrá	2500	2600	NA	NA	Paramo; Wetland	Anura	Bufonidae	Rhinella macrorhina	34.49	10.87	10.71	9.47	12.55	14.09	13.4	Very extensive
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3534	UV	UV-C	11224	UV-C-11224	1992-08-28	Oscar Hernandez	NA	Quindío	Salento	Navarco, La Linea	2500	2800	NA	NA	paramo	Anura	Craugastoridae	Pristimantis permixtus	40.11	13.73	13.65	9.14	20.84	18.19	20.37	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3535	UV	UV-C	11226	UV-C-11226	1992-08-28	Oscar Hernandez	NA	Quindío	Salento	Navarco, La Linea	2500	2800	NA	NA	paramo	Anura	Craugastoridae	Pristimantis permixtus	31.98	12.88	12.45	7.39	17.64	16.91	17.52	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3536	UV	UV-C	11227	UV-C-11227	1992-08-28	Oscar Hernandez	NA	Quindío	Salento	Navarco, La Linea	2500	2800	NA	NA	paramo	Anura	Craugastoridae	Pristimantis permixtus	34.23	14.55	13.45	8.82	17.54	16.7	20.85	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3537	UV	UV-C	11228	UV-C-11228	1992-08-28	Oscar Hernandez	NA	Quindío	Salento	Navarco, La Linea	2500	2800	NA	NA	paramo	Anura	Craugastoridae	Pristimantis permixtus	38.34	14.4	14.23	8.82	19.77	17.57	19.37	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:3538	UV	UV-C	11230	UV-C-11230	1992-08-28	Oscar Hernandez	NA	Quindío	Salento	Navarco, La Linea	2500	2800	NA	NA	paramo	Anura	Craugastoridae	Pristimantis permixtus	21.28	14.43	14.19	9.32	20.4	17.79	19.49	Absent
